NUMBER_OF_SETS	264
LGOROWLENGTH	12
INFO	"sRGB"
INSTRUMENTATION	"3DLUTCreator"
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
89	E1	0.08	0.21	0.25	20.273	-9.83	-9.89
90	E2	0.00	0.22	0.32	21.157	-8.61	-20.86
91	E3	0.00	0.23	0.38	22.875	-4.12	-28.92
92	E4	0.00	0.26	0.43	26.343	-4.97	-30.83
93	E5	0.38	0.56	0.62	56.135	-12.30	-13.80
94	E6	0.03	0.56	0.70	54.330	-22.58	-28.84
95	E7	0.00	0.54	0.75	53.617	-17.39	-37.17
96	E8	0.00	0.53	0.79	52.586	-12.29	-43.88
97	E9	0.86	0.90	0.91	90.297	-2.84	-2.12
98	E10	0.83	0.90	0.93	89.795	-5.28	-5.54
99	E11	0.77	0.90	0.95	88.985	-9.16	-9.44
100	E12	0.63	0.88	0.96	85.829	-17.77	-17.00
101	E13	0.52	0.87	0.95	83.593	-25.06	-17.88
102	E14	1.00	0.50	0.89	71.067	57.61	-28.09
103	E15	1.00	0.96	0.34	95.381	-10.25	74.12
104	E16	0.48	0.48	0.45	51.286	-0.91	3.71
105	E17	1.00	0.57	0.43	71.619	40.01	37.04
106	E18	0.34	0.89	0.46	81.158	-57.15	42.52
107	E19	0.49	0.38	0.88	48.824	35.38	-62.36
108	E20	0.94	0.89	0.59	90.353	-3.76	39.54
109	E21	0.86	0.85	0.74	85.943	-2.18	14.15
110	E22	0.88	0.90	0.44	88.809	-13.77	55.56
111	F1	0.03	0.22	0.20	20.773	-17.73	-0.93
112	F2	0.00	0.24	0.22	22.147	-19.51	-2.44
113	F3	0.00	0.27	0.25	25.135	-20.76	-3.23
114	F4	0.00	0.28	0.27	26.845	-21.64	-3.32
115	F5	0.33	0.59	0.54	57.435	-24.06	-0.91
116	F6	0.00	0.62	0.57	57.955	-37.87	-4.63
117	F7	0.00	0.62	0.58	58.545	-37.95	-5.17
118	F8	0.00	0.57	0.55	53.982	-34.34	-7.56
119	F9	0.86	0.91	0.89	90.662	-4.47	1.20
120	F10	0.81	0.91	0.89	90.368	-9.60	-0.14
121	F11	0.76	0.92	0.89	89.802	-14.93	-1.35
122	F12	0.48	0.93	0.89	86.696	-35.81	-6.22
123	F13	0.60	0.91	0.96	87.283	-22.62	-14.88
124	F14	1.00	0.65	0.92	78.576	41.52	-20.79
125	F15	1.00	0.97	0.55	96.409	-8.71	52.55
126	F16	0.61	0.61	0.58	63.752	-0.95	3.56
127	F17	1.00	0.68	0.57	78.242	28.42	26.93
128	F18	0.54	0.92	0.60	85.348	-42.36	30.67
129	F19	0.60	0.54	0.91	61.516	22.63	-47.02
130	F20	0.93	0.84	0.60	86.779	1.80	33.29
131	F21	0.93	0.82	0.38	84.843	0.91	58.60
132	F22	0.98	0.86	0.00	88.097	-0.75	86.74
133	G1	0.03	0.15	0.09	12.598	-15.21	6.56
134	G2	0.00	0.18	0.09	15.496	-20.69	9.80
135	G3	0.00	0.20	0.10	17.655	-22.63	12.18
136	G4	0.00	0.22	0.11	19.552	-23.79	12.47
137	G5	0.27	0.51	0.37	49.543	-27.90	13.33
138	G6	0.00	0.55	0.33	51.175	-44.03	20.55
139	G7	0.00	0.57	0.32	53.084	-46.30	24.47
140	G8	0.00	0.54	0.30	49.848	-44.13	23.34
141	G9	0.87	0.91	0.87	90.658	-4.73	3.59
142	G10	0.84	0.91	0.86	90.557	-8.81	4.49
143	G11	0.80	0.92	0.84	90.274	-13.90	6.71
144	G12	0.63	0.94	0.77	88.989	-32.88	13.20
145	G13	0.69	0.94	0.98	90.807	-19.07	-11.57
146	G14	1.00	0.76	0.94	85.261	27.55	-14.06
147	G15	0.99	0.98	0.69	97.091	-6.59	35.41
148	G16	0.72	0.72	0.70	74.466	-1.00	3.08
149	G17	1.00	0.77	0.69	84.154	19.19	18.87
150	G18	0.68	0.94	0.71	89.146	-30.30	21.38
151	G19	0.71	0.67	0.94	72.914	13.85	-33.32
152	G20	0.87	0.76	0.54	79.423	4.61	31.60
153	G21	0.94	0.78	0.47	82.875	7.85	45.54
154	G22	0.95	0.84	0.63	86.880	5.02	30.36
155	H1	0.24	0.30	0.14	30.384	-12.26	22.04
156	H2	0.20	0.32	0.02	31.257	-20.74	36.09
157	H3	0.19	0.34	0.00	32.374	-24.43	38.48
158	H4	0.20	0.37	0.00	35.175	-26.64	40.65
159	H5	0.57	0.66	0.42	65.899	-16.37	29.13
160	H6	0.50	0.69	0.17	66.503	-31.22	58.00
161	H7	0.42	0.71	0.00	66.786	-41.94	65.84
162	H8	0.35	0.72	0.00	66.500	-48.13	65.21
163	H9	0.88	0.91	0.83	90.785	-4.59	8.17
164	H10	0.86	0.92	0.78	90.846	-9.50	15.28
165	H11	0.83	0.92	0.71	90.240	-15.19	23.85
166	H12	0.71	0.94	0.45	88.776	-34.55	53.45
167	H13	0.79	0.96	0.98	93.818	-14.05	-7.48
168	H14	1.00	0.84	0.96	90.105	17.83	-8.73
169	H15	0.99	0.98	0.79	97.865	-5.07	24.03
170	H16	0.81	0.81	0.79	82.633	-0.53	2.85
171	H17	1.00	0.84	0.78	88.841	12.64	13.10
172	H18	0.78	0.96	0.80	92.280	-20.40	14.94
173	H19	0.80	0.79	0.97	82.320	8.23	-22.07
174	H20	0.96	0.50	0.00	66.406	41.76	73.20
175	H21	0.84	0.55	0.00	64.655	22.49	69.48
176	H22	0.94	0.72	0.38	78.295	14.35	51.43
177	I1	0.31	0.29	0.14	31.118	-2.97	23.92
178	I2	0.31	0.30	0.02	31.633	-5.39	37.13
179	I3	0.31	0.30	0.00	32.202	-5.28	39.74
180	I4	0.36	0.34	0.00	36.319	-5.20	43.18
181	I5	0.84	0.82	0.61	83.456	-4.93	28.16
182	I6	0.86	0.83	0.28	83.297	-9.29	66.11
183	I7	0.86	0.83	0.00	83.500	-11.01	82.02
184	I8	0.83	0.81	0.00	81.358	-10.83	80.25
185	I9	0.96	0.96	0.90	95.945	-1.43	7.07
186	I10	0.97	0.96	0.84	96.039	-3.17	14.67
187	I11	0.97	0.96	0.76	95.733	-5.06	24.38
188	I12	0.98	0.96	0.37	94.891	-11.79	70.37
189	I13	0.87	0.98	0.99	95.991	-8.81	-4.64
190	I14	1.00	0.90	0.97	93.737	10.91	-4.97
191	I15	0.99	0.99	0.87	98.436	-3.48	15.22
192	I16	0.88	0.87	0.86	88.783	-0.39	2.12
193	I17	0.99	0.90	0.85	92.584	7.61	8.41
194	I18	0.86	0.97	0.87	94.880	-12.92	9.64
195	I19	0.88	0.87	0.98	89.208	4.47	-13.02
196	I20	0.80	0.43	0.04	56.779	34.28	62.61
197	I21	0.81	0.71	0.55	75.492	5.12	24.19
198	I22	0.94	0.85	0.72	87.956	4.52	19.33
199	J1	0.35	0.28	0.14	31.476	4.90	24.36
200	J2	0.41	0.27	0.01	32.744	11.44	41.20
201	J3	0.46	0.28	0.00	34.842	17.38	44.15
202	J4	0.49	0.30	0.00	37.584	17.92	46.49
203	J5	0.86	0.74	0.52	77.973	5.84	31.72
204	J6	0.91	0.70	0.18	76.497	11.88	69.55
205	J7	0.96	0.67	0.00	75.782	19.67	78.44
206	J8	0.96	0.65	0.00	74.449	23.21	77.70
207	J9	0.95	0.92	0.87	93.416	0.80	7.87
208	J10	0.97	0.92	0.81	93.366	1.37	15.39
209	J11	0.98	0.92	0.73	93.118	0.94	24.99
210	J12	1.00	0.91	0.67	92.766	1.21	33.15
211	J13	0.93	0.98	0.99	97.472	-4.90	-2.34
212	J14	1.00	0.94	0.98	96.301	5.64	-2.29
213	J15	0.99	0.99	0.92	98.707	-1.99	8.91
214	J16	0.93	0.93	0.91	93.366	-0.29	1.79
215	J17	0.99	0.94	0.91	95.518	3.80	5.41
216	J18	0.92	0.98	0.92	96.739	-7.65	5.95
217	J19	0.93	0.93	0.98	93.733	2.02	-6.74
218	J20	0.17	0.08	0.03	10.003	10.38	12.38
219	J21	0.93	0.55	0.20	67.821	32.80	60.35
220	J22	0.94	0.80	0.68	84.501	9.35	19.56
221	K1	0.30	0.18	0.10	22.647	12.85	19.75
222	K2	0.40	0.15	0.01	25.024	27.23	34.43
223	K3	0.48	0.13	0.00	28.074	38.23	40.40
224	K4	0.52	0.13	0.00	29.985	41.43	42.80
225	K5	0.72	0.49	0.35	58.067	20.68	29.94
226	K6	0.82	0.43	0.21	57.588	36.45	48.90
227	K7	0.89	0.35	0.00	56.503	53.16	66.67
228	K8	0.96	0.24	0.00	55.545	68.50	68.43
229	K9	0.93	0.88	0.85	90.406	3.04	5.61
230	K10	0.96	0.87	0.82	90.293	5.88	9.80
231	K11	0.98	0.86	0.78	89.902	8.36	14.19
232	K12	1.00	0.86	0.75	89.634	9.83	18.65
233	K13	0.96	0.99	0.99	98.477	-2.22	-0.37
234	K14	0.99	0.97	0.98	97.901	2.19	-0.50
235	K15	0.99	0.99	0.96	99.122	-1.18	4.42
236	K16	0.96	0.96	0.95	96.562	-0.03	1.17
237	K17	0.99	0.97	0.95	97.566	1.64	2.68
238	K18	0.96	0.99	0.96	98.109	-3.27	2.85
239	K19	0.96	0.96	0.98	96.708	0.98	-2.72
240	K20	0.32	0.10	0.01	18.148	25.32	25.91
241	K21	0.70	0.14	0.00	40.121	55.81	54.06
242	K22	0.93	0.71	0.55	77.980	17.59	28.30
243	L1	0.32	0.16	0.14	22.262	18.47	12.54
244	L2	0.44	0.09	0.11	24.527	39.07	21.65
245	L3	0.52	0.00	0.09	27.343	49.98	30.57
246	L4	0.56	0.00	0.10	29.670	52.52	30.94
247	L5	0.70	0.48	0.46	57.294	22.67	12.14
248	L6	0.82	0.41	0.42	57.192	41.69	18.64
249	L7	0.89	0.31	0.36	55.490	58.96	26.83
250	L8	0.96	0.12	0.28	53.714	76.30	37.01
251	L9	0.93	0.88	0.86	90.302	3.78	3.68
252	L10	0.96	0.87	0.86	90.197	7.37	4.81
253	L11	0.98	0.86	0.85	89.952	10.70	5.76
254	L12	1.00	0.85	0.84	89.849	12.98	6.40
255	L13	0.99	0.99	0.99	99.242	-0.66	0.50
256	L14	0.99	0.99	0.99	99.018	0.55	0.20
257	L15	0.99	0.99	0.99	99.414	-0.21	0.76
258	L16	0.99	0.99	0.99	99.216	0.17	0.48
259	L17	0.99	0.99	0.99	99.354	-0.11	0.72
260	L18	0.99	0.99	0.99	99.402	-0.26	0.74
261	L19	0.98	0.98	0.99	98.520	0.28	-0.34
262	L20	0.13	0.05	0.04	5.879	10.66	5.30
263	L21	0.52	0.12	0.00	30.000	42.49	42.95
264	L22	0.77	0.15	0.00	43.623	60.11	57.59
END_DATA
