NUMBER_OF_SETS	264
LGOROWLENGTH	12
INFO	"sRGB"
INSTRUMENTATION	"3DLUTCreator"
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
88	D22	0.67	0.86	0.58	82.829	-26.29	30.01
89	E1	0.12	0.21	0.23	20.753	-8.39	-6.14
90	E2	0.06	0.24	0.30	23.064	-11.22	-13.99
91	E3	0.03	0.27	0.37	26.536	-10.30	-21.37
92	E4	0.01	0.31	0.42	30.884	-12.67	-22.92
93	E5	0.39	0.53	0.58	54.163	-11.14	-10.38
94	E6	0.23	0.56	0.66	54.880	-20.19	-21.42
95	E7	0.10	0.57	0.71	55.346	-22.11	-28.51
96	E8	0.02	0.58	0.76	56.575	-21.30	-33.36
97	E9	0.82	0.86	0.87	86.891	-3.62	-2.83
98	E10	0.78	0.87	0.90	86.511	-6.61	-6.84
99	E11	0.74	0.87	0.92	86.298	-9.38	-10.45
100	E12	0.67	0.87	0.95	85.477	-13.63	-15.05
101	E13	0.62	0.87	0.93	84.377	-17.67	-14.57
102	E14	1.00	0.67	0.98	80.429	40.20	-26.24
103	E15	1.00	0.98	0.27	96.141	-11.89	80.59
104	E16	0.45	0.45	0.43	48.138	-0.82	2.07
105	E17	1.00	0.55	0.44	70.843	42.85	34.89
106	E18	0.41	0.84	0.45	77.357	-47.77	38.60
107	E19	0.47	0.54	0.94	59.374	15.25	-54.70
108	E20	0.96	0.86	0.50	88.264	0.47	48.20
109	E21	0.83	0.79	0.67	81.463	0.27	16.40
110	E22	0.88	0.85	0.37	85.705	-8.08	59.59
111	F1	0.10	0.21	0.19	20.132	-12.13	-0.25
112	F2	0.04	0.23	0.21	21.705	-17.65	-0.88
113	F3	0.04	0.26	0.23	24.909	-20.23	-0.58
114	F4	0.03	0.29	0.25	27.060	-22.19	0.00
115	F5	0.36	0.54	0.51	54.144	-18.25	-0.34
116	F6	0.19	0.57	0.53	54.800	-31.16	-2.93
117	F7	0.04	0.60	0.54	56.808	-38.03	-1.83
118	F8	0.00	0.62	0.56	58.593	-39.26	-2.23
119	F9	0.82	0.86	0.85	86.891	-4.89	0.73
120	F10	0.76	0.87	0.86	86.524	-10.32	-1.29
121	F11	0.71	0.87	0.86	85.847	-14.29	-2.91
122	F12	0.60	0.88	0.87	84.676	-23.47	-6.18
123	F13	0.69	0.89	0.94	87.204	-15.02	-11.64
124	F14	1.00	0.75	0.99	84.567	31.20	-21.05
125	F15	1.00	0.98	0.43	96.530	-10.58	66.11
126	F16	0.56	0.57	0.55	59.802	-0.80	2.42
127	F17	1.00	0.66	0.54	77.224	30.52	29.47
128	F18	0.53	0.86	0.55	80.988	-38.78	30.89
129	F19	0.59	0.64	0.95	68.117	9.98	-42.19
130	F20	0.95	0.80	0.53	84.348	6.69	39.90
131	F21	0.95	0.78	0.34	82.753	6.54	60.40
132	F22	0.98	0.83	0.02	86.280	2.77	85.21
133	G1	0.09	0.13	0.10	11.973	-7.20	3.68
134	G2	0.06	0.15	0.10	13.602	-12.80	6.41
135	G3	0.03	0.17	0.08	14.630	-17.53	10.31
136	G4	0.03	0.19	0.09	16.506	-19.67	12.09
137	G5	0.31	0.46	0.36	45.946	-18.64	9.35
138	G6	0.15	0.50	0.31	47.046	-35.60	17.76
139	G7	0.02	0.53	0.28	49.455	-44.25	25.87
140	G8	0.01	0.57	0.24	52.437	-48.27	33.98
141	G9	0.83	0.86	0.82	86.897	-4.35	3.89
142	G10	0.79	0.87	0.81	86.425	-9.20	4.24
143	G11	0.74	0.87	0.79	85.881	-14.31	6.29
144	G12	0.61	0.89	0.76	84.600	-27.77	8.57
145	G13	0.75	0.91	0.95	89.617	-12.69	-9.49
146	G14	1.00	0.81	0.98	88.237	22.86	-14.61
147	G15	1.00	0.98	0.57	96.837	-8.27	49.80
148	G16	0.67	0.67	0.65	69.559	-0.58	2.63
149	G17	1.00	0.74	0.64	82.466	21.87	23.03
150	G18	0.64	0.89	0.65	84.579	-29.28	22.76
151	G19	0.67	0.72	0.96	75.467	5.91	-31.89
152	G20	0.86	0.70	0.50	75.431	9.97	32.13
153	G21	0.97	0.75	0.42	81.084	14.51	49.19
154	G22	0.97	0.80	0.55	84.913	10.13	37.33
155	H1	0.23	0.26	0.16	26.706	-6.70	13.59
156	H2	0.19	0.26	0.10	26.239	-13.42	22.38
157	H3	0.17	0.27	0.07	26.555	-17.61	26.99
158	H4	0.18	0.30	0.06	29.127	-20.80	29.94
159	H5	0.53	0.59	0.40	60.358	-12.18	23.51
160	H6	0.49	0.62	0.23	60.892	-23.00	45.75
161	H7	0.43	0.63	0.10	60.762	-31.65	57.11
162	H8	0.36	0.65	0.03	61.201	-40.71	60.23
163	H9	0.85	0.86	0.78	87.012	-3.28	9.71
164	H10	0.84	0.87	0.71	87.006	-7.22	19.31
165	H11	0.83	0.87	0.62	86.715	-11.93	30.25
166	H12	0.77	0.91	0.37	87.306	-26.64	60.60
167	H13	0.80	0.93	0.96	91.852	-10.15	-7.23
168	H14	1.00	0.86	0.98	91.286	15.72	-9.56
169	H15	1.00	0.97	0.72	96.992	-4.81	32.49
170	H16	0.76	0.75	0.74	77.900	-0.15	2.71
171	H17	1.00	0.81	0.73	86.925	15.30	17.43
172	H18	0.75	0.91	0.74	88.414	-20.50	16.98
173	H19	0.76	0.80	0.97	82.259	3.71	-22.40
174	H20	0.94	0.45	0.05	62.926	46.09	68.81
175	H21	0.80	0.48	0.14	59.290	28.43	57.47
176	H22	0.96	0.68	0.36	76.494	20.99	51.48
177	I1	0.28	0.25	0.16	27.125	0.29	14.87
178	I2	0.28	0.24	0.10	26.568	0.31	23.24
179	I3	0.29	0.24	0.07	26.468	1.74	28.07
180	I4	0.33	0.27	0.06	30.436	1.56	32.78
181	I5	0.82	0.76	0.54	78.490	-0.73	29.63
182	I6	0.85	0.76	0.29	78.871	-2.39	60.73
183	I7	0.83	0.76	0.02	78.004	-4.52	77.42
184	I8	0.82	0.74	0.01	76.694	-4.22	76.73
185	I9	0.95	0.93	0.86	93.964	-0.32	9.62
186	I10	0.98	0.93	0.78	94.245	-0.94	20.59
187	I11	0.99	0.94	0.68	94.288	-2.30	34.04
188	I12	1.00	0.96	0.29	95.261	-10.14	78.35
189	I13	0.86	0.95	0.97	93.965	-7.34	-5.04
190	I14	0.98	0.91	0.97	93.726	8.80	-5.12
191	I15	1.00	0.97	0.82	97.401	-2.63	19.48
192	I16	0.84	0.83	0.81	85.076	-0.15	2.53
193	I17	1.00	0.87	0.81	90.877	10.23	11.78
194	I18	0.83	0.94	0.82	91.808	-13.47	11.59
195	I19	0.84	0.86	0.97	87.787	1.85	-14.42
196	I20	0.75	0.37	0.18	51.645	37.66	44.88
197	I21	0.78	0.65	0.52	70.816	8.88	22.90
198	I22	0.95	0.81	0.65	85.416	8.62	24.99
199	J1	0.32	0.24	0.16	27.406	7.27	15.52
200	J2	0.37	0.21	0.10	27.412	15.93	25.52
201	J3	0.42	0.20	0.06	28.308	23.39	32.57
202	J4	0.45	0.22	0.06	30.880	23.88	34.86
203	J5	0.84	0.68	0.49	73.876	10.90	31.36
204	J6	0.92	0.66	0.25	73.811	18.67	61.36
205	J7	0.95	0.62	0.04	72.282	26.20	75.14
206	J8	0.96	0.59	0.02	71.115	31.17	75.25
207	J9	0.95	0.89	0.82	91.107	2.80	10.69
208	J10	0.98	0.89	0.75	91.326	4.47	20.88
209	J11	1.00	0.89	0.65	91.555	3.69	33.42
210	J12	1.00	0.89	0.57	91.136	2.40	42.98
211	J13	0.91	0.96	0.97	95.846	-4.64	-2.69
212	J14	0.98	0.94	0.97	95.725	4.44	-2.14
213	J15	0.99	0.98	0.89	97.782	-1.20	10.56
214	J16	0.90	0.90	0.88	90.849	-0.29	2.56
215	J17	0.99	0.92	0.88	94.127	4.73	7.69
216	J18	0.90	0.96	0.88	94.525	-7.71	7.45
217	J19	0.90	0.91	0.97	92.166	0.90	-7.54
218	J20	0.15	0.08	0.06	8.500	8.77	6.34
219	J21	0.92	0.51	0.27	65.778	38.08	50.69
220	J22	0.95	0.76	0.62	82.150	14.66	24.52
221	K1	0.27	0.15	0.12	19.440	13.25	12.30
222	K2	0.35	0.12	0.08	20.834	26.48	20.51
223	K3	0.41	0.10	0.06	23.253	35.89	27.99
224	K4	0.44	0.09	0.06	24.923	38.68	30.05
225	K5	0.68	0.45	0.36	54.324	21.48	22.28
226	K6	0.77	0.39	0.27	53.656	37.59	35.91
227	K7	0.84	0.30	0.17	52.557	53.51	49.37
228	K8	0.90	0.23	0.12	52.626	64.33	55.84
229	K9	0.91	0.85	0.80	87.456	4.67	7.63
230	K10	0.97	0.84	0.76	88.085	9.69	13.97
231	K11	1.00	0.83	0.72	88.036	12.42	19.31
232	K12	1.00	0.83	0.68	87.715	12.24	24.37
233	K13	0.95	0.97	0.97	97.180	-1.79	-0.64
234	K14	0.98	0.96	0.97	97.029	2.02	-0.71
235	K15	0.98	0.98	0.94	97.932	-0.33	4.14
236	K16	0.95	0.94	0.93	95.001	-0.07	1.42
237	K17	0.98	0.95	0.94	96.350	2.20	3.06
238	K18	0.95	0.97	0.94	96.692	-2.72	3.15
239	K19	0.94	0.95	0.97	95.512	0.27	-2.56
240	K20	0.27	0.08	0.07	15.095	23.06	15.69
241	K21	0.61	0.12	0.09	34.547	50.61	38.94
242	K22	0.94	0.67	0.51	76.105	23.13	31.51
243	L1	0.28	0.15	0.15	20.017	15.40	7.73
244	L2	0.38	0.12	0.13	22.266	30.75	14.23
245	L3	0.44	0.09	0.12	24.515	39.17	20.82
246	L4	0.47	0.09	0.13	26.519	41.66	21.10
247	L5	0.66	0.46	0.45	54.499	20.28	8.98
248	L6	0.78	0.41	0.43	56.042	38.20	15.67
249	L7	0.86	0.35	0.40	56.283	52.52	20.46
250	L8	0.94	0.29	0.39	57.077	65.35	24.18
251	L9	0.91	0.84	0.82	87.330	5.29	4.80
252	L10	0.96	0.84	0.81	87.896	10.12	6.90
253	L11	0.99	0.83	0.81	88.203	13.96	8.66
254	L12	1.00	0.83	0.80	88.181	15.43	9.03
255	L13	0.98	0.98	0.98	98.539	-0.39	0.33
256	L14	0.99	0.98	0.98	98.330	0.42	0.38
257	L15	0.99	0.98	0.98	98.622	-0.02	0.52
258	L16	0.98	0.98	0.98	98.472	0.14	0.22
259	L17	0.98	0.98	0.98	98.588	-0.20	0.77
260	L18	0.98	0.98	0.98	98.586	-0.20	0.75
261	L19	0.97	0.97	0.97	97.534	0.19	-0.27
262	L20	0.11	0.06	0.06	5.920	6.12	2.65
263	L21	0.45	0.10	0.07	25.169	38.70	28.65
264	L22	0.67	0.13	0.09	38.230	54.36	42.44
END_DATA
